<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.06.05	98.10	98.10	95.00	96.49	685	636740	1
2019.06.06	97.48	97.80	96.70	97.68	67	66990	1
2019.06.07	97.76	98.67	97.76	98.30	119	224620	1
2019.06.10	98.29	98.29	97.21	97.92	351	1043280	1
2019.06.11	97.96	99.45	97.96	99.45	121	558290	1
2019.06.12	99.00	99.70	98.42	98.71	236	893520	1
2019.06.13	99.49	99.75	99.04	99.17	95	309430	1
2019.06.14	99.78	99.78	98.00	98.43	134	443030	1
2019.06.17	98.43	98.82	98.10	98.10	348	1376200	1
2019.06.18	99.03	99.90	99.01	99.90	124	164590	1
2019.06.19	99.80	100.80	99.40	100.80	203	205880	1
2019.06.21	100.81	102.55	100.81	102.51	245	134140	1
2019.06.24	102.99	103.10	102.10	102.48	259	242320	1
2019.06.25	102.45	102.45	100.31	100.54	198	110900	1
2019.06.26	101.00	101.50	100.67	101.17	194	916050	1
2019.06.27	100.99	101.40	99.93	101.23	272	1114520	1
2019.06.28	101.86	102.05	101.24	101.42	921	316190	1
2019.07.01	101.52	102.93	101.52	101.84	217	558950	1
2019.07.02	101.96	102.04	100.37	101.03	876	2147240	1
2019.07.03	101.16	102.72	100.90	102.55	15357	1393780	1
2019.07.04	102.66	104.43	102.66	104.16	469	753360	1
2019.07.05	104.16	104.67	103.18	104.60	342	380390	1
2019.07.08	107.18	107.18	104.50	105.05	299	223920	1
2019.07.10	105.41	107.17	105.41	106.35	680	850880	1
2019.07.11	107.50	107.50	105.33	105.66	1114	388880	1
2019.07.12	106.89	106.89	104.43	104.43	392	510120	1
2019.07.15	105.05	105.05	103.97	104.32	251	158000	1
2019.07.16	104.69	104.94	103.80	104.29	375	240140	1
2019.07.17	104.70	104.80	104.23	104.37	378	233340	1
2019.07.18	104.50	105.23	104.42	105.23	715	992790	1
2019.07.19	105.98	105.98	103.87	103.97	215	389160	1
2019.07.22	104.32	104.70	104.16	104.46	166	299310	1
2019.07.23	104.88	104.90	103.97	104.21	200	84900	1
2019.07.24	104.41	105.08	104.36	104.53	1510	773510	1
2019.07.25	104.46	104.85	102.83	103.16	261	572080	1
2019.07.26	104.99	104.99	102.80	103.32	211	258640	1
2019.07.29	103.32	103.99	102.96	103.99	1186	609840	1
2019.07.30	103.95	104.02	103.05	103.44	390	391360	1
2019.07.31	104.95	104.95	101.37	102.21	845	314400	1
2019.08.01	104.00	104.55	102.33	102.62	550	222470	1
2019.08.02	102.68	103.99	102.12	103.15	3314	668170	1
2019.08.05	101.99	101.99	100.10	100.59	667	411160	1
2019.08.06	101.15	102.66	101.15	102.66	247	174000	1
2019.08.07	102.40	103.20	100.89	103.20	357	595950	1
2019.08.08	103.51	104.80	103.51	104.61	876	468470	1
2019.08.09	104.61	105.30	104.00	104.42	274	191800	1
2019.08.12	103.50	103.50	101.99	102.40	805	379340	1
2019.08.13	102.51	104.24	101.80	103.80	423	554540	1
2019.08.14	102.80	102.80	100.38	100.75	469	243920	1
2019.08.15	101.40	101.43	98.52	99.54	590	338800	1
2019.08.16	100.11	100.91	99.50	100.30	342	538410	1
2019.08.19	102.69	102.69	99.29	99.95	334	641980	1
2019.08.20	99.95	100.11	98.20	99.70	360	455030	1
2019.08.21	100.51	101.74	100.00	101.69	280	747820	1
2019.08.22	102.00	102.02	100.43	100.43	266	440790	1
2019.08.23	100.00	100.37	97.40	98.13	646	748830	1
2019.08.26	99.19	99.19	96.43	96.75	419	830810	1
2019.08.27	96.76	98.31	96.23	97.66	838	1097540	1
2019.08.28	97.40	98.79	96.96	98.65	366	1096300	1
2019.08.29	98.92	101.20	98.92	101.02	371	290000	1
2019.08.30	101.40	102.64	101.20	101.64	350	338350	1
2019.09.02	101.64	102.03	101.01	101.02	5643	1492670	1
2019.09.03	101.00	101.84	99.75	100.06	2824	1457530	1
2019.09.04	100.78	101.60	100.76	101.60	4014	1769460	1
2019.09.05	102.03	103.74	102.03	102.67	423	236550	1
2019.09.06	102.81	103.60	102.81	103.34	1245	641170	1
2019.09.09	103.72	104.64	103.30	103.58	583	2352600	1
2019.09.10	103.68	104.02	102.70	103.52	281	302520	1
2019.09.11	103.65	104.60	103.65	103.87	856	720620	1
2019.09.12	104.23	105.14	104.18	104.82	426	336000	1
2019.09.13	105.00	105.09	103.06	103.91	337	1496540	1
2019.09.16	104.03	104.45	103.25	104.08	560	1924710	1
2019.09.17	103.99	105.12	103.41	105.12	256	61940	1
2019.09.18	105.12	105.12	104.11	105.02	522	869290	1
2019.09.19	105.28	106.48	104.70	104.73	310	335490	1
2019.09.20	105.23	105.49	104.34	105.31	461	670500	1
2019.09.23	105.00	106.00	104.43	105.12	188	208980	1
2019.09.24	104.90	106.00	103.89	104.27	3645	3512180	1
2019.09.25	104.03	104.97	103.46	104.97	449	177870	1
2019.09.26	104.97	105.82	104.83	105.82	251	230740	1
2019.09.27	105.66	106.08	104.95	105.57	426	291610	1
2019.09.30	105.60	105.62	105.15	105.15	325	416200	1
2019.10.01	105.15	105.57	104.25	104.54	955	2979510	1
2019.10.02	103.26	103.37	101.30	101.49	794	851780	1
2019.10.03	101.55	102.00	100.38	102.00	2338	723600	1
2019.10.04	102.99	103.03	101.48	103.03	370	293980	1
2019.10.07	103.03	103.03	100.89	101.02	1645	497990	1
2019.10.08	102.01	102.01	100.22	100.44	1389	671410	1
2019.10.09	101.01	101.99	100.60	101.72	1948	1416800	1
2019.10.10	101.40	102.80	101.40	102.21	305	860150	1
2019.10.11	102.78	104.91	102.78	104.33	976	469750	1
2019.10.14	104.33	104.79	103.94	104.79	178	363090	1
2019.10.15	104.68	105.51	104.51	104.87	363	504900	1
2019.10.16	104.73	105.92	104.00	105.92	205	161080	1
2019.10.17	105.92	106.38	105.24	105.40	565	322530	1
2019.10.18	105.40	105.89	104.95	105.11	251	495290	1
2019.10.21	103.55	106.49	103.55	106.49	156	386830	1
2019.10.22	105.95	107.89	105.95	107.86	415	805820	1
2019.10.23	107.88	108.40	107.47	107.92	567	260720	1
2019.10.24	107.86	108.19	107.01	107.37	396	683840	1
2019.10.25	107.79	108.52	107.48	107.85	473	933190	1
2019.10.28	107.89	108.85	107.76	108.57	914	1220400	1
2019.10.29	108.27	108.46	107.78	107.93	1828	1066150	1
2019.10.30	107.93	108.90	106.95	108.90	871	509120	1
2019.10.31	109.00	109.00	106.72	107.61	2079	688490	1
2019.11.01	108.19	108.91	108.19	108.69	766	1142210	1
2019.11.04	108.90	109.75	108.75	109.16	750	1184150	1
2019.11.05	109.40	109.75	108.62	109.20	797	752690	1
2019.11.06	109.58	110.16	107.76	108.74	838	1586370	1
2019.11.07	108.76	110.14	108.76	109.97	913	753350	1
2019.11.08	110.32	110.32	107.47	108.11	790	1405580	1
2019.11.11	107.79	108.85	107.21	108.85	560	1526160	1
2019.11.12	108.85	108.85	106.63	107.15	504	795510	1
2019.11.13	106.98	107.13	105.64	106.44	463	172170	1
2019.11.14	106.55	107.20	106.24	107.05	439	308630	1
2019.11.18	107.09	108.02	106.70	106.75	1070	1301810	1
2019.11.19	107.00	107.35	105.79	106.35	555	468160	1
2019.11.21	106.36	108.95	106.36	107.89	1041	298780	1
2019.11.22	108.10	109.19	107.64	109.19	1704	818730	1
2019.11.25	109.21	109.32	108.54	108.91	435	503720	1
2019.11.26	108.65	108.65	106.82	107.55	5198	1850540	1
2019.11.27	107.70	108.43	106.66	108.11	5070	999020	1
2019.11.28	108.09	108.82	107.70	108.69	177	1626370	1
2019.11.29	108.89	109.17	108.20	108.73	490	340560	1
2019.12.02	108.95	109.77	108.95	109.30	6190	1453660	1
2019.12.03	109.31	109.79	108.56	109.35	79371	1468550	1
2019.12.04	110.10	110.70	109.63	110.70	9751	1201690	1
2019.12.05	110.70	111.53	110.53	111.12	255	298660	1
2019.12.06	111.44	111.92	111.29	111.65	332	820540	1
2019.12.09	111.67	111.89	111.27	111.37	14388	748320	1
2019.12.10	111.37	111.67	110.57	111.06	12861	496030	1
2019.12.11	111.50	111.56	110.99	111.36	367	288130	1
2019.12.12	111.52	112.96	111.52	112.63	785	1756990	1
2019.12.13	113.27	113.32	112.25	113.07	2532	2447710	1
2019.12.16	113.54	113.70	112.29	112.29	1627	2338780	1
2019.12.17	112.85	113.15	112.46	113.13	244	491140	1
2019.12.18	113.13	114.78	112.88	114.73	432	272340	1
2019.12.19	114.20	115.65	113.50	115.65	1931	681220	1
2019.12.20	115.80	117.38	115.00	115.62	2314	573240	1
2019.12.23	115.70	116.29	115.46	116.29	2158	434430	1
2019.12.26	116.35	117.81	116.20	117.65	432	759760	1
2019.12.27	117.66	118.34	116.54	117.13	929	1353490	1
2019.12.30	117.23	117.67	116.11	116.25	921	1159270	1
2020.01.02	117.65	119.21	116.98	119.21	410	454180	1
2020.01.03	118.30	119.37	117.71	118.22	1463	263350	1
2020.01.06	118.00	118.27	116.14	117.39	1165	1353020	1
2020.01.07	117.64	117.64	116.50	117.27	457	1313760	1
2020.01.08	117.20	117.92	116.21	116.85	905	1227580	1
2020.01.09	116.86	117.40	115.94	116.57	912	642630	1
2020.01.10	116.79	117.33	115.45	116.12	959	1800610	1
2020.01.13	116.15	117.90	116.15	117.85	478	472970	1
2020.01.14	117.80	118.26	117.20	118.26	322	1508810	1
2020.01.15	117.94	117.94	116.73	117.03	873	943440	1
2020.01.16	117.59	117.70	116.43	117.31	472	448540	1
2020.01.17	117.64	119.10	117.62	119.10	1124	452890	1
2020.01.20	118.99	119.46	118.43	119.46	259	219310	1
2020.01.21	119.46	119.46	117.53	117.53	691	781330	1
2020.01.22	118.64	119.01	118.07	119.01	6285	4333790	1
2020.01.23	118.69	120.13	117.48	120.03	546	379400	1
2020.01.24	120.18	120.25	118.60	118.99	1118	751110	1
2020.01.27	117.99	117.99	114.95	114.95	1784	1089660	1
2020.01.28	115.05	117.32	115.05	117.09	594	245110	1
2020.01.29	117.12	117.60	115.63	115.97	1246	431080	1
2020.01.30	114.96	116.10	113.30	116.10	1122	533600	1
2020.01.31	113.99	114.87	113.69	114.35	737	439140	1
