<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.08.22	110.95	111.09	109.60	109.75	2016	194640	1
2019.08.23	109.30	109.30	106.60	107.80	10878	504940	1
2019.08.26	108.31	108.73	105.01	105.65	1385	177470	1
2019.08.27	106.35	106.86	104.38	106.79	1787	95750	1
2019.08.28	106.49	107.84	105.02	107.30	625	132440	1
2019.08.29	107.58	109.90	107.58	109.90	1065	232770	1
2019.08.30	110.21	111.50	109.83	111.50	2140	213560	1
2019.09.02	111.40	111.65	109.01	111.00	851	249380	1
2019.09.03	110.50	111.59	109.15	110.00	699	81060	1
2019.09.04	111.00	111.05	109.13	109.60	2974	319230	1
2019.09.05	110.40	110.67	109.63	110.20	1746	348570	1
2019.09.06	110.70	110.70	108.91	109.05	2059	378260	1
2019.09.09	109.49	109.50	106.91	107.55	11237	300430	1
2019.09.10	107.59	107.60	106.45	107.30	2418	305690	1
2019.09.11	108.25	110.32	108.25	110.32	1336	1032530	1
2019.09.12	110.78	110.90	109.60	110.50	768	99800	1
2019.09.13	110.60	110.91	108.90	109.29	433	114430	1
2019.09.16	110.25	110.25	106.51	108.20	864	50840	1
2019.09.17	108.79	110.41	108.20	110.40	1033	128840	1
2019.09.18	110.30	111.10	109.76	111.10	938	740690	1
2019.09.19	111.50	112.99	111.50	112.20	3204	369690	1
2019.09.20	112.21	112.65	111.49	112.40	793	191360	1
2019.09.23	112.34	112.34	111.40	112.00	447	373350	1
2019.09.24	112.00	112.23	111.01	111.70	308	33440	1
2019.09.25	111.50	111.50	110.14	110.90	1843	115800	1
2019.09.26	110.91	112.00	110.91	112.00	264	24700	1
2019.09.27	112.00	112.35	111.43	111.80	565	23050	1
2019.09.30	111.85	113.00	111.85	112.80	518	139220	1
2019.10.01	113.04	113.04	111.87	112.25	4692	565860	1
2019.10.02	111.75	111.75	110.03	110.49	2044	221420	1
2019.10.03	110.60	111.40	109.09	111.40	5271	464970	1
2019.10.04	111.62	112.65	110.51	112.65	660	291060	1
2019.10.07	112.65	114.75	110.05	110.50	686	209250	1
2019.10.08	110.50	110.93	108.87	109.50	871	87500	1
2019.10.09	110.30	110.99	109.89	110.70	432	70440	1
2019.10.10	111.00	111.46	110.38	110.50	205	16630	1
2019.10.11	111.00	112.82	111.00	112.53	446	49960	1
2019.10.14	112.64	113.21	111.76	113.00	830	30360	1
2019.10.15	113.00	113.31	112.45	112.60	2942	72740	1
2019.10.16	112.59	113.84	111.30	113.84	324	28980	1
