<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.03.03	179.98	184.18	175.35	176.80	292	77230	1
2020.03.04	180.75	180.79	175.84	179.71	1126	93720	1
2020.03.05	179.47	181.94	168.39	171.40	5701	184070	1
2020.03.06	166.23	168.08	161.87	163.87	9993	371820	1
2020.03.09	152.98	153.00	140.75	143.55	4096	392550	1
2020.03.10	150.00	155.99	145.20	153.00	2446	259650	1
2020.03.11	150.82	150.82	134.82	141.40	1345	143590	1
2020.03.12	121.29	127.98	113.02	120.90	2066	244370	1
2020.03.13	132.93	139.60	121.42	137.70	2615	987150	1
2020.03.16	121.90	127.99	117.01	118.84	7967	719450	1
2020.03.17	122.36	130.00	117.01	124.10	9150	338240	1
2020.03.18	117.01	119.98	105.50	111.35	1478	93550	1
2020.03.19	109.00	116.78	102.11	113.41	1036	278480	1
2020.03.20	120.00	120.48	110.00	111.00	804	93630	1
