<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.10.02	81.72	81.72	81.50	81.50	2	30	1
2019.10.03	81.00	81.00	81.00	81.00	2	300	1
2019.10.04	81.20	81.98	81.20	81.92	3	220	1
2019.10.07	81.92	81.92	80.41	80.41	4	2070	1
2019.10.08	79.93	79.93	79.61	79.61	3	2040	1
2019.10.09	80.81	80.81	80.81	80.81	1	10	1
2019.10.10	80.83	80.83	80.83	80.83	1	10	1
2019.10.11	82.04	82.30	82.04	82.17	4	80	1
2019.10.14	82.17	82.48	82.17	82.46	4	4020	1
2019.10.15	84.30	84.30	82.17	82.17	4	2320	1
2019.10.16	84.20	84.20	81.90	82.80	8	440	1
2019.10.18	82.73	82.89	82.73	82.89	2	60	1
2019.10.21	83.00	83.34	83.00	83.15	3	3050	1
2019.10.22	84.12	84.12	84.00	84.00	3	70	1
2019.10.23	84.03	84.22	83.96	84.22	3	70	1
2019.10.25	84.02	84.26	84.00	84.26	19	4800	1
2019.10.28	84.32	84.82	84.29	84.82	6	3170	1
2019.10.29	84.53	84.61	84.53	84.61	3	2020	1
2019.10.30	84.61	85.00	84.02	85.00	4	600	1
2019.10.31	84.74	84.97	84.37	84.97	5	370	1
2019.11.01	85.40	87.00	85.40	85.50	21	780	1
2019.11.04	85.92	86.29	85.92	86.29	5	6070	1
2019.11.05	85.52	85.70	85.52	85.70	2	1010	1
2019.11.06	85.74	85.74	85.74	85.74	2	80	1
2019.11.07	85.01	86.36	85.01	86.31	6	1890	1
2019.11.08	85.47	85.47	85.47	85.47	1	10	1
2019.11.11	85.42	85.71	85.40	85.71	3	1020	1
2019.11.12	85.17	85.17	84.75	84.75	4	100	1
2019.11.13	85.00	85.24	84.63	84.63	4	90	1
2019.11.14	85.08	85.29	84.87	84.88	14	830	1
2019.11.18	85.70	85.70	85.43	85.43	6	220	1
2019.11.19	86.00	86.00	85.24	85.24	6	160	1
2019.11.21	85.24	86.00	85.23	85.95	6	3620	1
2019.11.22	86.67	86.89	86.25	86.89	6	270	1
2019.11.25	86.50	86.50	86.50	86.50	2	50	1
2019.11.26	85.89	85.89	85.46	85.87	4	140	1
2019.11.27	86.00	86.00	86.00	86.00	1	2000	1
2019.11.28	86.39	86.39	86.18	86.35	3	260	1
2019.11.29	86.48	86.79	86.48	86.79	5	220	1
2019.12.02	87.65	87.65	87.03	87.03	10	3150	1
2019.12.03	86.84	87.22	86.64	87.22	10	1210	1
2019.12.04	87.42	88.04	87.42	87.90	5	190	1
2019.12.05	88.59	88.65	88.50	88.50	7	730	1
2019.12.06	88.73	89.01	88.73	89.01	3	80	1
2019.12.09	89.95	90.27	89.95	90.00	6	260	1
2019.12.10	89.77	89.77	89.54	89.54	5	3130	1
2019.12.11	90.39	90.39	90.00	90.00	6	3080	1
2019.12.12	90.91	91.14	90.91	91.14	2	40	1
2019.12.13	91.23	91.60	91.14	91.38	12	1090	1
2019.12.16	92.43	92.43	91.81	91.81	9	4270	1
2019.12.17	91.72	91.85	91.64	91.85	3	70	1
2019.12.18	92.04	93.02	92.04	93.02	6	110	1
2019.12.19	92.90	94.00	92.58	94.00	6	5040	1
2019.12.20	93.59	94.06	93.45	94.06	14	20710	1
2019.12.23	94.06	94.42	93.84	94.42	17	14450	1
2019.12.26	94.00	95.83	94.00	95.55	13	620	1
2019.12.27	96.00	96.00	95.11	95.47	12	2440	1
2019.12.30	95.90	95.90	95.53	95.73	6	1120	1
2020.01.02	96.01	96.47	96.01	96.47	7	280	1
2020.01.03	97.00	97.00	96.70	96.93	8	280	1
2020.01.06	97.00	98.00	96.21	96.21	15	830	1
2020.01.07	93.80	96.99	93.80	95.99	10	130	1
2020.01.08	95.72	95.72	95.50	95.50	2	20	1
2020.01.09	95.13	95.17	94.52	94.52	10	5350	1
2020.01.10	93.79	95.80	93.79	95.18	13	34410	1
2020.01.13	96.13	96.68	95.90	96.68	8	4210	1
2020.01.14	96.54	97.04	96.32	96.84	9	10190	1
2020.01.15	97.06	97.15	96.19	96.19	13	10260	1
2020.01.16	96.78	96.88	95.94	95.95	10	9820	1
2020.01.17	96.60	97.10	96.10	97.10	8	510	1
2020.01.20	97.34	97.77	97.34	97.77	5	90	1
2020.01.21	97.21	99.60	97.21	97.84	8	170	1
2020.01.22	97.84	97.89	97.49	97.89	5	240	1
2020.01.23	98.00	98.48	97.20	98.48	7	330	1
2020.01.24	98.12	98.12	97.94	97.98	5	540	1
2020.01.27	97.20	97.20	95.85	95.85	7	400	1
2020.01.28	98.00	98.00	96.10	96.56	7	90	1
2020.01.29	97.00	97.00	95.93	96.32	7	290	1
2020.01.30	93.80	94.70	93.70	94.50	5	190	1
2020.01.31	94.23	94.23	94.00	94.00	5	70	1
2020.02.03	96.00	96.00	94.64	95.06	8	300	1
2020.02.04	95.51	95.51	95.51	95.51	1	10	1
2020.02.05	96.90	96.90	96.08	96.08	7	3240	1
2020.02.06	96.65	96.65	94.87	94.87	4	630	1
2020.02.07	94.87	94.87	93.70	93.71	6	160	1
2020.02.10	93.19	93.50	91.93	92.06	11	230	1
2020.02.11	93.00	93.95	93.00	93.95	6	160	1
2020.02.12	94.55	96.00	94.46	96.00	9	340	1
2020.02.13	95.51	96.90	93.90	94.40	20	12000	1
2020.02.14	94.21	96.00	93.46	93.46	18	8440	1
2020.02.17	93.46	96.75	93.46	94.51	17	4760	1
2020.02.18	96.00	96.24	93.15	93.85	23	8880	1
2020.02.19	94.70	95.74	94.37	95.74	25	13950	1
2020.02.20	94.68	95.50	93.80	93.90	32	10020	1
2020.02.21	93.90	95.49	92.86	93.50	31	7270	1
2020.02.26	87.50	90.40	87.50	87.98	16	3140	1
2020.02.27	88.00	88.10	86.00	86.00	33	15910	1
2020.02.28	86.00	88.15	83.40	87.01	32	19320	1
2020.03.02	86.99	90.78	86.99	88.30	29	10570	1
2020.03.03	88.95	90.25	87.30	87.57	35	18980	1
2020.03.04	89.47	91.00	88.51	91.00	59	55090	1
2020.03.05	89.19	89.33	86.00	86.00	13	8810	1
2020.03.06	83.36	84.15	82.82	83.00	13	1140	1
2020.03.09	80.00	80.01	76.70	76.70	11	5110	1
2020.03.10	78.41	79.05	77.71	78.61	15	980	1
2020.03.11	78.29	78.29	73.50	75.00	10	120	1
2020.03.12	74.50	74.50	62.78	69.50	13	200	1
2020.03.13	75.00	75.00	67.70	71.10	13	480	1
2020.03.16	66.00	66.68	63.01	65.97	26	21030	1
2020.03.17	64.00	69.47	64.00	68.64	9	360	1
2020.03.18	68.60	68.60	60.00	63.00	10	1520	0
