<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.08.23	95.60	96.38	93.42	94.02	149124	10614120	1
2019.08.26	94.55	95.00	92.42	92.65	31469	4165080	1
2019.08.27	93.19	94.35	92.26	93.65	40127	5934710	1
2019.08.28	93.04	94.76	92.95	94.58	25917	3075390	1
2019.08.29	95.03	97.00	94.88	96.86	78192	5921790	1
2019.08.30	97.53	97.83	97.00	97.61	41316	4619310	1
2019.09.02	97.52	97.90	96.76	96.76	19242	2844060	1
2019.09.03	96.69	97.74	95.67	95.90	30949	5865740	1
2019.09.04	97.30	97.37	96.66	97.37	18044	2863010	1
2019.09.05	98.02	99.42	98.02	98.44	24092	4245770	1
2019.09.06	99.06	99.35	98.63	99.13	15936	3412310	1
2019.09.09	99.50	100.40	98.99	99.33	26191	3286710	1
2019.09.10	99.37	99.78	98.43	99.19	21602	3154680	1
2019.09.11	99.80	100.30	99.36	99.75	18024	3095480	1
2019.09.12	100.30	100.79	99.80	100.36	22119	3261040	1
2019.09.13	100.79	100.81	99.36	99.58	22903	5235630	1
2019.09.16	99.88	100.17	98.92	99.80	50358	4730360	1
2019.09.17	99.48	100.76	99.13	100.76	33362	2764480	1
2019.09.18	100.55	100.84	99.77	100.63	78674	3784050	1
2019.09.19	101.45	102.12	100.36	100.44	19257	3331780	1
2019.09.20	100.65	101.16	100.00	100.76	33500	4142160	1
2019.09.23	100.48	100.82	100.18	100.78	21263	2435110	1
2019.09.24	100.91	100.99	99.63	100.00	48317	6301950	1
2019.09.25	99.80	100.55	99.21	100.45	21721	3248450	1
2019.09.26	100.93	101.45	100.48	101.43	26652	2976760	1
2019.09.27	101.40	101.74	100.62	101.24	23168	4069100	1
2019.09.30	101.25	101.34	100.78	101.01	16451	3637500	1
2019.10.01	101.00	101.30	100.00	100.06	49029	5845310	1
2019.10.02	99.16	99.24	97.15	97.15	46735	8510310	1
2019.10.03	97.60	97.81	96.10	97.72	36231	4834000	1
2019.10.04	97.80	98.80	97.27	98.69	12057	2559040	1
2019.10.07	98.55	98.67	96.80	96.80	21243	3225810	1
2019.10.08	96.99	97.60	96.11	96.15	35233	5096280	1
2019.10.09	97.16	97.83	96.47	97.50	25382	3607750	1
2019.10.10	97.80	98.70	97.42	98.08	20152	1864620	1
2019.10.11	98.86	100.60	98.86	99.97	69343	5463260	1
2019.10.14	99.65	100.45	99.57	100.35	31152	2798360	1
2019.10.15	100.34	101.21	100.17	100.58	53826	4433830	1
2019.10.16	100.55	101.48	99.67	101.40	23023	4424830	1
2019.10.17	101.32	102.00	100.89	101.05	67597	5182150	1
2019.10.18	101.06	101.61	100.65	100.75	38352	5200300	1
2019.10.21	101.45	102.00	100.79	102.00	24294	3759430	1
2019.10.22	102.00	103.45	101.95	103.24	89378	6987630	1
2019.10.23	103.24	103.99	103.02	103.40	45076	5740380	1
2019.10.24	103.66	103.80	102.62	103.00	41020	5028050	1
2019.10.25	103.30	104.13	102.97	103.37	51714	6562060	1
2019.10.28	103.38	104.42	103.29	103.95	61675	4300150	1
2019.10.29	103.90	104.04	103.29	103.50	36447	4060810	1
2019.10.30	103.45	104.35	102.55	104.29	63375	4396530	1
2019.10.31	103.87	103.87	102.36	103.23	37372	5383940	1
2019.11.01	103.85	104.45	103.62	104.27	16982	4154010	1
2019.11.04	104.45	105.29	104.35	104.63	33223	4609990	1
2019.11.05	104.96	105.28	104.19	104.67	53435	4664780	1
2019.11.06	104.95	105.60	103.24	104.35	42376	7805360	1
2019.11.07	104.76	105.63	104.53	105.31	51009	4598140	1
2019.11.08	104.50	104.90	103.11	103.40	32733	4693780	1
2019.11.11	103.08	104.34	102.81	104.24	36722	5342860	1
2019.11.12	103.90	103.98	102.24	102.45	67999	6981450	1
2019.11.13	102.33	102.82	101.31	102.37	47352	6027430	1
2019.11.14	102.28	102.81	101.85	102.55	24086	3167590	1
2019.11.18	103.95	103.95	102.00	102.00	34565	4149950	1
2019.11.19	102.67	102.97	101.43	101.96	33235	4799720	1
2019.11.21	102.05	103.50	102.04	103.50	33660	3130050	1
2019.11.22	103.57	104.60	103.21	104.60	73312	6062500	1
2019.11.25	104.79	104.87	104.06	104.25	47759	2800170	1
2019.11.26	104.13	104.13	102.46	103.44	61016	7619250	1
2019.11.27	103.30	104.00	102.29	103.68	33497	3266080	1
2019.11.28	103.46	104.38	103.20	104.38	19890	2597560	1
2019.11.29	104.38	104.70	103.70	104.35	12064	2358810	1
2019.12.02	104.60	105.25	104.55	104.81	72698	4392120	1
2019.12.03	105.15	105.29	104.10	105.00	25918	2966310	1
2019.12.04	105.30	106.19	105.10	106.10	62760	5532730	1
2019.12.05	106.20	106.99	105.87	106.44	51722	4201120	1
2019.12.06	106.50	107.32	106.50	106.93	42241	3256520	1
2019.12.09	106.96	107.29	106.71	106.77	67666	3922240	1
2019.12.10	106.64	107.07	106.01	106.58	65872	4519050	1
2019.12.11	106.82	107.00	106.40	106.75	90354	4106850	1
2019.12.12	107.21	108.28	107.21	107.85	59295	6395020	1
2019.12.13	108.35	108.68	107.59	108.31	32710	5027740	1
2019.12.16	108.55	109.01	107.72	107.72	48881	4549070	1
2019.12.17	108.49	108.56	107.75	108.41	58639	5621000	1
2019.12.18	108.35	110.16	108.15	110.16	66968	5850810	1
2019.12.19	109.98	110.82	109.45	110.82	34443	4799050	1
2019.12.20	110.82	110.86	110.28	110.84	46409	4031320	1
2019.12.23	110.80	111.67	110.69	111.67	66179	6090570	1
2019.12.26	111.61	112.98	111.40	112.81	94411	4068930	1
2019.12.27	113.00	113.84	111.77	112.17	64233	7706740	1
2019.12.30	112.78	112.82	111.23	111.23	22865	3278370	1
2020.01.02	112.45	114.24	112.13	114.24	44941	5684380	1
2020.01.03	112.93	114.50	112.80	113.80	41215	6602450	1
2020.01.06	113.00	113.45	112.02	112.59	49161	6771940	1
2020.01.07	112.90	112.90	111.59	112.24	82363	6096900	1
2020.01.08	112.65	113.10	111.40	111.95	46982	6469320	1
2020.01.09	111.95	112.55	111.18	111.66	23764	5500010	1
2020.01.10	112.40	112.51	110.70	111.28	21554	6103030	1
2020.01.13	111.50	113.08	111.50	113.08	44235	5050430	1
2020.01.14	112.75	113.40	112.30	113.32	46436	4378140	1
2020.01.15	113.00	113.05	111.90	112.18	29178	3708620	1
2020.01.16	112.70	112.89	111.63	112.35	34582	4737610	1
2020.01.17	112.65	114.30	112.64	114.10	89510	6314730	1
2020.01.20	113.79	114.41	113.50	114.41	66683	4476830	1
2020.01.21	113.87	114.20	112.65	112.65	35457	4252920	1
2020.01.22	113.30	114.10	113.15	114.10	27401	6471590	1
2020.01.23	113.50	115.21	112.60	115.21	42166	5041350	1
2020.01.24	115.21	115.26	113.71	114.00	27235	3877390	1
2020.01.27	111.70	111.70	110.20	110.29	54813	8060600	1
2020.01.28	111.38	112.53	111.10	112.30	44126	6187440	1
2020.01.29	112.66	112.81	110.86	110.88	35932	4915650	1
2020.01.30	109.98	111.22	108.66	111.19	59076	8214790	1
2020.01.31	109.00	110.21	108.90	108.90	53738	6028890	1
2020.02.03	109.70	111.11	109.30	110.42	42682	5175280	1
2020.02.04	112.11	113.00	111.20	111.21	23442	4570380	1
2020.02.05	112.76	113.40	111.77	111.77	37031	5342920	1
2020.02.06	112.60	113.08	110.45	110.95	60061	8510000	1
2020.02.07	110.12	110.95	109.35	109.35	38481	5856080	1
2020.02.10	109.30	109.95	108.00	108.79	50256	8600260	1
2020.02.11	109.80	111.31	109.39	111.30	51942	5563510	1
2020.02.12	112.05	113.30	111.32	112.45	42126	5121470	1
2020.02.13	111.39	111.68	110.52	110.90	43705	5415220	1
2020.02.14	111.23	111.32	109.90	110.08	35706	5081200	1
2020.02.17	110.71	111.44	110.43	110.80	44101	5174010	1
2020.02.18	110.15	111.14	109.31	111.14	33595	5605850	1
2020.02.19	111.00	112.20	110.43	112.08	50643	7221480	1
2020.02.20	111.96	112.20	110.12	110.20	50732	4374160	1
2020.02.21	108.80	109.50	108.50	109.45	41334	5453000	1
2020.02.26	104.40	104.42	101.15	101.90	65114	13641900	1
2020.02.27	100.08	102.80	99.20	99.20	125026	16405500	1
2020.02.28	98.94	100.60	96.26	100.60	146000	19480430	1
2020.03.02	100.85	103.38	99.90	102.99	55281	9062780	1
2020.03.03	102.96	105.27	100.50	101.75	83271	14631450	1
2020.03.04	103.99	103.99	101.10	103.10	116437	8364790	1
2020.03.05	102.00	102.10	96.77	98.79	78999	10116790	1
2020.03.06	94.82	95.84	93.32	94.40	113431	25135520	1
2020.03.09	88.35	88.35	82.70	82.70	222243	28728360	1
2020.03.10	86.62	88.81	83.93	88.63	234973	21817040	1
2020.03.11	85.99	87.10	77.40	82.06	249556	18987320	1
2020.03.12	70.59	72.64	66.30	70.10	124612	22828730	1
2020.03.13	79.97	79.97	70.00	79.49	170570	34289940	1
2020.03.16	69.01	73.70	68.34	68.40	171722	31237400	1
2020.03.17	71.00	74.50	68.11	71.00	192518	25633030	1
2020.03.18	66.80	68.00	60.88	65.01	127119	37160660	1
2020.03.19	62.90	67.54	59.10	65.00	299756	28398250	1
2020.03.20	68.57	69.75	63.57	64.77	155750	28911030	1
2020.03.23	65.35	66.30	59.91	61.29	148015	17729560	0
2020.03.24	66.02	68.98	65.95	68.51	28020	7186320	0
